c++,0.02096271151557613,1,257.2102803738317,68
sun microsystems,0.021513320912426786,2,361.9705882352941,136
apple inc.,0.022164634031323245,3,111.44295302013423,2
windows 8,0.023688160527047537,4,185.42592592592595,20
linux,0.024036978609560535,1,51.725824800910125,2,step two
cross-platform,0.025375376144578562,2,74.244920993228,7,step two
windows 7,0.02564706946074026,5,180.27941176470588,18
javascript,0.025975505826237668,3,84.34235294117647,9,step two
dos,0.02608707615517749,6,438.9259259259259,176
c (programming language),0.026224718059100902,4,46.98853211009174,1,step two
perl,0.026616360508914583,5,95.125,12,step two
open-source software,0.026780880157598164,6,97.89311163895486,14,step two
php,0.027171407620197662,7,104.46389891696751,15,step two
proprietary software,0.02734010058938349,8,107.30222841225626,16,step two
fortran,0.0274219100826845,9,108.6787072243346,17,step two
free software,0.027449949698101172,10,109.15048543689319,18,step two
operating system,0.02753548817087558,11,110.58970588235296,20,step two
compiler,0.027766926637299835,12,114.48375451263539,21,step two
integrated development environment,0.02795371712386603,13,117.62658227848102,22,step two
source code,0.028365566074436015,14,118.08241758241758,23,step two
unix-like,0.028693412525952297,15,130.07226562500003,29,step two
application programming interface,0.028764297820365638,16,131.26494023904382,31,step two
library (computing),0.029163166016244496,17,137.97606382978722,35,step two
windows 10,0.029594855172719287,7,196.8706896551724,32
xml,0.02961019571373716,18,145.49752475247521,37,step two
mit license,0.02974812139556019,19,147.81818181818178,39,step two
freebsd,0.029911281266745027,20,150.5634146341463,40,step two
matlab,0.03017363984363355,21,154.97770700636943,43,step two
free and open-source software,0.030240307327745915,22,156.09941520467834,44,step two
.net framework,0.030351548199129334,23,129.2807881773399,28,step two
unix,0.03035905107592034,24,158.0973282442748,46,step two
programming language,0.030666673029671854,25,92.17105263157896,11,step two
java (programming language),0.03126424686965311,26,54.519710906701704,3,step two
d (programming language),0.03138279356736616,27,175.3222222222222,53,step two
ibm,0.031395966342298964,28,175.54385964912282,54,step two
qt (software),0.031473986965750426,29,176.85658914728683,57,step two
computer programming,0.032157478419638466,30,188.3566176470588,59,step two
web browser,0.032251866524641105,31,189.94473684210527,60,step two
github,0.03244891696848323,32,121.0,25,step two
c sharp (programming language),0.03251757024117106,33,69.27219626168224,6,step two
scala (programming language),0.03331906893529127,34,207.9008620689655,67,step two
mac os x,0.03358329684112338,35,156.9945355191257,45,step two
sql,0.033606383107763114,36,212.73504273504275,71,step two
http,0.03367607061955437,8,280.64814814814815,83
functional programming,0.03378317722485653,37,215.70967741935485,73,step two
fork (software development),0.034286634482648105,38,224.18055555555554,75,step two
graphical user interface,0.03439369829675014,39,132.86617100371748,33,step two
gnu compiler collection,0.03442565128217114,40,169.72260273972603,51,step two
tcl,0.034522294353126134,41,228.1456310679612,77,step two
kde,0.0347499319304449,42,231.97572815533982,78,step two
subroutine,0.03482747210090739,43,233.2803738317757,80,step two
sourceforge,0.035164682638588615,44,238.95408163265307,82,step two
garbage collection (computer science),0.03519508929370999,45,239.4656862745098,83,step two
julia (programming language),0.03523052196128692,46,240.06185567010309,85,step two
software development kit,0.03525242435655811,47,232.52380952380952,79,step two
